Size, Reads_Bubble, Writes_Bubble, Reads_Selec, Writes_Selec, Reads_Quick, Writes_Quick, Reads_Heap, Writes_Heap, Reads_2, Writes_2, Reads_Insert, Writes_Insert, Reads_Merge, Writes_Merge,
100,18034,8154,10200,300,1307,948,2.21543E+18,5.64741E+18,18030,3042,8352,2916,380,200, 
200,64412,26682,40400,600,3189,2236,1.16372E+19,1.45669E+19,72424,11540,27080,9292,776,400, 
300,152581,63873,90600,900,4701,3254,7.40763E+18,1.83223E+19,159691,24329,64471,21889,1192,600, 
400,286654,130134,160800,1200,5908,4072,1.28688E+17,1.09683E+19,294000,46132,130932,44176,1592,800, 
500,457019,209079,251000,1500,7260,4990,6.71794E+18,4.48279E+18,446983,67493,210077,70691,1992,1000, 
600,650670,298926,361200,1800,8951,6144,7.69598E+18,1.02883E+19,647704,98100,300124,100840,2382,1200, 
700,810861,329217,491400,2100,12127,8288,1.14914E+19,7.97285E+18,901821,139839,330615,111137,2782,1400, 
800,1021932,402192,641600,2400,13951,9524,5.49075E+18,1.33657E+19,1183327,184041,403790,135662,3196,1600, 
900,1354810,557052,811800,2700,15722,10708,6.60306E+18,1.62592E+19,1502131,234009,558850,187482,3596,1800, 
1000,1700682,744324,1002000,3000,17737,12058,1.60551E+19,1.61679E+19,1811613,274203,746322,250106,3996,2000, 
